星期二,三月,21:28:20:61752-VCID:1675C471F8088E3A44F-8042,数据版本: 20250313 DS365.0,,,,,,,
8WD 927 755 ,B9_DL3_L_SD1  H02 0006,,,,,,,,,
,G001,G023,G028,G029,G031,G032,G035,G036,G037,F0
,,,,,,,,,,
插入标记号,位置 IDE00021,位置 IDE11277-MAS00043,位置 IDE12260-IDE05421,位置 IDE12260-IDE10258,位置 IDE12260-MAS02964,位置 IDE12260-MAS04136,位置 IDE12423-MAS04136,位置 IDE12423-MAS09527,位置 IDE12423-MAS09528,
,发动机转速,控制单元:运行状态-端子 30 供电电压,全轮驱动离合器执行元件1-扭矩:实际值,全轮驱动离合器执行元件1-扭矩:标准值,全轮驱动离合器执行元件1-角度数值,全轮驱动离合器执行元件1-当前,全轮驱动离合器执行元件2-当前,全轮驱动离合器执行元件2-控制电压:实际值,全轮驱动离合器执行元件2-控制电压:标准值,
, /min, V, Nm, Nm, °, A, A, V, V,
,1287,14.96875,0,0,1.4,0,2.4902,2.8984375,2.556640625,
,1291,14.87402344,0,0,1.4,0,2.4648,2.77734375,2.6328125,
,1294,14.83984375,0,0,1.4,0,2.3926,2.68359375,2.657226563,
,1301,14.92578125,0,0,1.4,0,2.502,2.814453125,2.546875,
,1300,14.95117188,0,0,1.4,0,2.6484,2.870117188,2.482421875,
,1302,14.95996094,0,0,1.4,0.0371,2.4277,2.833007813,2.647460938,
,1294,14.95996094,0,0,1.4,-0.0371,2.4766,2.888671875,2.555664063,
,1286,14.90820313,0,0,1.4,0,2.4648,2.786132813,2.637695313,
,1281,14.93457031,0,0,1.4,0.0371,2.4902,2.795898438,2.565429688,
,1283,14.95117188,0,0,1.4,0,2.5137,2.916992188,2.583984375,
,1279,14.92578125,0,0,1.4,0,2.4277,2.842773438,2.642578125,
,1279,14.96875,0,0,1.4,0,2.4902,2.879882813,2.552734375,
,1281,14.89160156,0,0,1.4,0,2.4531,2.786132813,2.641601563,
,1286,14.93457031,0,0,1.4,0,2.502,2.786132813,2.560546875,
,1286,14.92578125,0,0,1.4,0,2.5137,2.814453125,2.586914063,
,1286,14.95117188,0,0,1.4,-0.0371,2.4043,2.82421875,2.642578125,
,1286,14.96875,0,0,1.4,0,2.4902,2.907226563,2.5546875,
,1287,14.90820313,0,0,1.4,0,2.4531,2.77734375,2.638671875,
,1292,14.94238281,0,0,1.4,0,2.502,2.786132813,2.522460938,
,1294,14.91699219,0,0,1.4,0,2.4766,2.8046875,2.611328125,
,1293,14.95117188,0,0,1.4,0,2.3926,2.814453125,2.633789063,
,1292,14.95996094,0,0,1.4,0,2.5137,2.954101563,2.538085938,
,1293,14.98535156,0,0,1.4,0,2.4766,2.8984375,2.538085938,
,1295,14.91699219,0,0,1.4,0,2.4531,2.77734375,2.633789063,
,1294,14.94238281,0,0,1.4,-0.0371,2.502,2.786132813,2.51953125,
,1291,14.90820313,0,0,1.4,0,2.4902,2.8046875,2.603515625,
,1290,14.92578125,0,0,1.4,0,2.3926,2.82421875,2.651367188,
,1295,14.93457031,0,0,1.4,-0.0371,2.502,2.916992188,2.55078125,
,1296,14.93457031,0,0,1.4,0,2.4531,2.767578125,2.637695313,
,1296,14.96875,0,0,1.4,0,2.502,2.786132813,2.52734375,
,1296,14.91699219,0,0,1.4,0,2.502,2.82421875,2.59765625,
,1296,14.94238281,0,0,1.4,0,2.4531,2.861328125,2.57421875,
,1294,14.96875,0,0,1.4,0,2.5137,2.97265625,2.555664063,
,1293,14.92578125,0,0,1.4,0,2.4531,2.786132813,2.626953125,
,1292,14.95996094,0,0,1.4,-0.0371,2.502,2.8046875,2.5234375,
,1292,14.93457031,0,0,1.4,0,2.4902,2.814453125,2.603515625,
,1292,14.95996094,0,0,1.4,-0.0371,2.6367,2.870117188,2.473632813,
,1291,14.9765625,0,0,1.4,0,2.6367,2.870117188,2.489257813,
,1292,14.95996094,0,0,1.4,-0.0371,2.4277,2.833007813,2.647460938,
,1293,14.95996094,0,0,1.4,0,2.4902,2.879882813,2.548828125,
,1291,14.8828125,0,0,1.4,0,2.4531,2.786132813,2.6484375,
